V2_READ_CODE	V2_TERM_CODE	V2_TERM	V3_READ_CODE	V3_TERM_ID	V3_TERM	SNOMED_CONCEPT_ID	SNOMED_DESCRIPTION_ID	SNOMED_TERM	KEY	COMMENTS	REPORT	REQUEST	BATTERY	LEVEL	TEST	RATIO	BOOLEAN	TEXT	STATUS	RELEASE_DATE
43GT.	00	Serum anti-cardiolipin level	43GT.	YaXyJ	Serum anti-cardiolipin level	996931000000103	2576741000000113	Serum anti-cardiolipin level			T	T	T	T	T	T	F	T	C	1997-03-01
43GU.	00	Anti-gliadin antibody level	43GU.	YaXyK	Anti-gliadin antibody level	1026921000000100	2602211000000117	Anti-gliadin antibody level		Deleted use 43mD. Gliadin antibody measurement	T	T	F	T	T	T	F	T	D	1997-03-01
43GV.	00	Reticulin antibody titre	43GV.	YaY2G	Reticulin antibody titre	996941000000107	2571251000000112	Reticulin antibody titre			T	T	F	T	T	T	F	T	C	1997-03-01
43GW.	00	Anti liver kidney micro ab lev	43GW.	YadSn	Anti-liver-kid microsom ab lev	996951000000105	2568291000000117	Anti liver kidney microsomal antibody level	anti LKM		T	T	F	T	T	T	F	T	C	1997-03-01
43GX.	00	Serum endomysium antibodies	XE2mY	YabaS	Serum endomysium antibod level	996961000000108	2568311000000116	Serum endomysium antibodies			T	T	F	T	T	T	F	T	C	1997-03-01
43I..	00	Complement test	43I..	Y7GVL	Complement test	996971000000101	2576751000000111	Complement test		Apr15: For deletion Oct15. Ambiguous.	T	T	T	T	F	T	F	T	C	1997-03-01
43I1.	00	Complement -third component-C3	XE2sD	YaVAA	Complement component 3 test	996981000000104	2581751000000114	Complement third component - C3	C3		T	T	T	T	T	T	F	T	C	1997-03-01
43I2.	00	Complement-fourth component-C4	XE2sE	YaVAD	Complement component 4 test	996991000000102	2559781000000110	Complement fourth component - C4	C4		T	T	T	T	T	T	F	T	C	1997-03-01
43J..	00	Immunoglobulins	XE2wI	Y7Fgk	Immunoglobulin level	997001000000108	2563331000000118	Immunoglobulins	IG		T	T	T	T	F	T	F	T	C	1997-03-01
43J3.	00	IgG	XE259	YaVAu	Immunoglobulin G level	997011000000105	2576761000000114	IgG	IGG		T	T	F	T	T	T	F	T	C	1997-03-01
43J4.	00	IgM	XE25A	YaVAv	Immunoglobulin M level	997021000000104	2572581000000113	IgM	IGM		T	T	F	T	T	T	F	T	C	1997-03-01
43J5.	00	IgA	XE25B	YaVAw	Immunoglobulin A level	997031000000102	2571261000000110	IgA	IGA		T	T	F	T	T	T	F	T	C	1997-03-01
43J7.	00	IgE	XE2bT	YaVAx	Immunoglobulin E level	997041000000106	2555331000000112	IgE	IGE		T	T	F	T	T	T	F	T	C	1997-03-01
43K..	00	Immuno-electrophoresis	43K..	Y7GVa	Immunoelectrophoresis	997051000000109	2563351000000113	Immuno-electrophoresis			T	T	T	T	F	T	F	T	C	1997-03-01
43L..	00	Sample serology	43L..	YMGpJ	Sample serology	997061000000107	2559791000000112	Sample serology		Use as battery text header only.  (Restored to Current as text header)	T	T	T	T	F	T	F	T	C	1997-03-01
43Q..	00	RAST test	X77av	Y7GX6	Radio-allergosorbent test	997071000000100	2581761000000112	RAST test	RAST	For deletion Oct15. Non-specific item	T	T	T	T	T	F	F	T	C	1997-03-01
43Z2.	00	Prostate specific antigen	XE25C	Y7Fgr	Prostate-specific ag level	1030791000000100	2599721000000119	PSA (prostate-specific antigen) level	PSA	Deleted Oct 14.  Use 43Z22 Se prostate specific Ag level.	T	T	T	T	T	T	F	T	D	1997-03-01
43Z3.	00	Opsonisation function test	43Z3.	YMGqE	Opsonisation function test	997081000000103	2563361000000111	Opsonisation function test		Apr15: For deletion Oct15.  Ambiguous.	T	T	T	T	F	T	F	T	C	1997-03-01
43Z4.	00	Neutrophil function test	43Z4.	Y7GW4	Neutrophil function test	997091000000101	2576771000000119	Neutrophil function test			T	T	T	T	T	T	F	T	C	1997-03-01
43Z5.	00	Lymphocyte prolif ability est	43Z5.	Ya2PH	Lymphocyte prolif ability est	997101000000109	2569151000000114	Estimation of lymphocyte proliferative ability			T	T	F	T	T	T	F	T	C	1997-03-01
43Z8.	00	Paraprotein profile	X77az	Y7GXJ	Paraprotein profile	997111000000106	2576781000000117	Paraprotein profile			T	T	T	T	F	T	F	T	C	1997-03-01
442..	00	Thyroid hormone tests	XE25E	Y7GP1	Thyroid hormone tests	1027131000000103	2601471000000115	Thyroid hormone tests		Deleted: use 442J. (Thyroid function test)	T	T	T	F	F	F	F	F	D	1997-03-01
4425.	00	Free T3 level	4425.	Y7Fdm	Free triiodothyronine level	1027141000000107	2598601000000111	FT3 (free triiodothyronine) level		Deleted: specific "Serum" & "Plasma" terms have been added: 442U. (Serum free T3 level) & 442Y. (Plasma free T3 level)	T	T	F	T	T	F	F	F	D	1997-03-01
4427.	00	Free T4 level	4427.	Y7Fdh	Free thyroxine level	1030801000000101	2598611000000113	Free thyroxine level		Deleted: specific "Serum" & "Plasma" terms have been added: 442V. (Serum free T4 level) & 442c. (Plasma free T4 level)	T	T	F	T	T	F	F	F	D	1997-03-01
442A.	00	TSH - thyroid stim. hormone	XE2wy	Y7Fdb	Thyroid stimulating horm lev	1027151000000105	2602361000000112	TSH (thyroid stimulating hormone) level		Deleted: specific "Serum" & "Plasma" terms have been added: 442W. (Serum TSH level) & 442X. (Plasma TSH level)	T	T	F	T	T	F	F	F	D	1997-03-01
443..	00	Gonadotrophin levels	XE25H	Y7Fca	Gonadotrophin level	997121000000100	2563371000000116	Gonadotrophin levels			T	T	T	T	T	F	F	F	C	1997-03-01
4433.	00	Luteinising hormone - L.H.	XE25I	Y7FdA	Luteinising hormone level	1030811000000104	2598631000000117	Luteinising hormone level		Deleted: specific "Serum" & "Plasma" terms have been added: 443e. (Serum LH level) & 443f. (Plasma LH level)	T	T	F	T	T	F	F	F	D	1997-03-01
4434.	00	Follicle stim. hormone - F.S.H	XE25J	Y7FdF	Follicle stimulating horm lev	1027161000000108	2596511000000113	FSH (follicle stimulating hormone) level		Deleted: specific "Serum" & "Plasma" terms have been added: 443h. (Serum FSH level) & 443i. (Plasma FSH level)	T	T	F	T	T	F	F	F	D	1997-03-01
4435.	00	Prolactin level	4435.	Y7FdW	Prolactin level	1027171000000101	2598661000000110	Prolactin level		Deleted: specific "Serum" & "Plasma" terms have been added: 443j. (Serum prolactin level) & 443g. (Plasma prolactin level)	T	T	F	T	T	F	F	F	D	1997-03-01
4444.	00	Serum oestriol level	XE25M	Y7FdP	Serum oestriol level	997131000000103	2569161000000112	Serum oestriol level	OES		T	T	F	T	T	F	F	F	C	1997-03-01
445..	00	Serum pregnancy test (B-HCG)	445..	Y7GOM	Serum pregnancy test (B-HCG)	997141000000107	2563381000000119	Serum beta human chorionic gonadotrophin pregnancy test		For deletion Oct15.  Outmoded test.	T	T	F	F	T	F	F	T	C	1997-03-01
4463.	00	Serum progesterone	XE2dq	YabTD	Serum progesterone level	997151000000105	2563391000000117	Serum progesterone level	PROG		T	T	F	T	T	F	F	F	C	1997-03-01
4466.	00	Se 17a-hydroxyprogesterone lev	4466.	YaZuu	Se 17a-hydroxyprogesterone lev	1030821000000105	2600141000000110	Serum 17a-hydroxyprogesterone level	17OHPROG	Deleted - duplicate. Use 448n.	T	T	F	T	T	F	F	F	D	1997-03-01
4473.	00	Serum testosterone	XE2dr	YabTE	Serum testosterone level	997161000000108	2571281000000118	Serum testosterone level	TESTO		T	T	F	T	T	F	F	F	C	1997-03-01
4478.	00	Se dehydroepiandrosterone lev	4478.	YaZuq	Se dehydroepiandrosterone lev	997171000000101	2571291000000116	Serum dehydroepiandrosterone level	DHEA		T	T	F	T	T	F	F	F	C	1997-03-01
4481.	00	Serum growth hormone	XE2xV	Y7Fcs	Serum growth hormone level	997181000000104	2572591000000110	Serum growth hormone level	GH		T	T	F	T	T	F	F	F	C	1997-03-01
4482.	00	Serum cortisol	XE2xW	Y7Fcn	Serum cortisol level	997191000000102	2559801000000111	Serum cortisol level	CORT		T	T	T	T	T	F	F	F	C	1997-03-01
4483.	00	Serum ACTH	XE2xX	Y7Fch	Serum ACTH level	997201000000100	2563401000000119	Serum ACTH (adrenocorticotrophic hormone) level	ACTH		T	T	F	T	T	F	F	F	C	1997-03-01
4493.	00	Serum insulin	XE2pp	Yabab	Serum insulin level	997211000000103	2572601000000116	Serum insulin level			T	T	F	T	T	F	F	F	C	1997-03-01
44A1.	00	Serum parathyroid hormone	XE2xc	Y7FdT	Serum parathyr hormone level	997221000000109	2572611000000119	Serum parathyroid hormone level	PTH		T	T	F	T	T	F	F	F	C	1997-03-01
